filename,published,modified,expires,deprecated
instant-messaging-services-with-openfire-on-ubuntu-10-04-lts-lucid.md,2010-05-03 00:00:00,2013-09-24 00:00:00,,True
instant-messaging-services-with-openfire-on-ubuntu-9-04-jaunty.md,2009-09-19 00:00:00,2011-04-29 00:00:00,,True
instant-messaging-services-with-openfire-on-ubuntu-9-10-karmic.md,2009-10-29 00:00:00,2012-10-03 00:00:00,,True
use-ejabberd-for-instant-messaging-on-ubuntu-12-04.md,2012-10-31 00:00:00,2012-10-31 00:00:00,,True
using-irssi-for-internet-relay-chat.md,2010-03-29 00:00:00,2015-01-09 00:00:00,,False
using-weechat-for-irc.md,2014-08-27 00:00:00,2016-03-10 00:00:00,,False
how-to-create-a-private-python-package-repository.md,,2017-09-12 00:00:00,,False
how-to-install-and-configure-redmine-on-ubuntu-16-04.md,2017-09-14 00:00:00,2017-09-26 00:00:00,,False
install-farmos.md,2017-09-09 00:00:00,2017-09-20 00:00:00,,False
manage-projects-with-redmine-on-debian-5-lenny.md,2009-11-30 00:00:00,2011-05-17 00:00:00,,True
manage-projects-with-redmine-on-debian-6-squeeze.md,2011-05-16 00:00:00,2011-06-07 00:00:00,,True
manage-projects-with-redmine-on-ubuntu-10-04-lts-lucid.md,2010-04-29 00:00:00,2011-06-07 00:00:00,,True
manage-projects-with-redmine-on-ubuntu-11-04-natty.md,2011-05-17 00:00:00,2013-02-18 00:00:00,,True
manage-projects-with-redmine-on-ubuntu-9-10-karmic.md,2009-11-23 00:00:00,2011-05-17 00:00:00,,True
power-team-collaboration-with-egroupware-on-centos-5.md,2010-02-03 00:00:00,2011-08-22 00:00:00,,True
power-team-collaboration-with-egroupware-on-debian-5-lenny.md,2010-01-26 00:00:00,2011-08-22 00:00:00,,truew
power-team-collaboration-with-egroupware-on-fedora-13.md,2010-09-16 00:00:00,2013-10-04 00:00:00,,True
power-team-collaboration-with-egroupware-on-ubuntu-9-10-karmic.md,2010-02-01 00:00:00,2011-08-22 00:00:00,,True
setting-up-taskwarrior-on-ubuntu-16-10.md,,2017-05-23 00:00:00,,False
install-vnc-on-ubuntu-16-04.md,2016-06-21 00:00:00,2016-06-21 00:00:00,,False
run-graphic-software-on-your-linode-with-xforwarding-on-ubuntu-12-04.md,2014-04-10 00:00:00,2014-04-25 00:00:00,,True
running-graphic-software-xforwarding-debian.md,2014-04-10 00:00:00,2014-04-25 00:00:00,,False
using-vnc-to-operate-a-desktop-on-ubuntu-12-04.md,2014-04-10 00:00:00,2014-08-21 00:00:00,,True
create-an-aggregate-blog-using-planet-on-debian-5-lenny.md,2010-04-07 00:00:00,2013-10-04 00:00:00,,True
create-an-aggregate-blog-using-planet-on-ubuntu-9-10-karmic.md,2010-08-10 00:00:00,2012-10-08 00:00:00,,True
create-an-aggregate-blog-using-planet-venus-on-ubuntu-10-04-lucid.md,2010-08-10 00:00:00,2013-10-04 00:00:00,,True
create-an-aggregate-blog-using-planet-venus-on-ubuntu-12-04-precise-pangolin.md,2012-10-22 00:00:00,2013-10-04 00:00:00,,True
dolphin.md,2012-07-10 00:00:00,2013-10-04 00:00:00,,true - '[Boonex Home Page](http://www.boonex.com)' - '[Boonex Plug-in Market](http://www.boonex.com/market)' - '[Boonex Forums](http://www.boonex.com/forums/)'
phpfox.md,2011-01-31 00:00:00,2013-10-04 00:00:00,,True
planet-feed-aggregator.md,2010-08-05 00:00:00,2013-10-04 00:00:00,,True
question-and-answer-communities-with-osqa-on-debian-5-lenny.md,2010-05-10 00:00:00,2013-10-04 00:00:00,,True
social-networking-with-elgg-on-debian-5-lenny.md,2009-12-08 00:00:00,2013-10-04 00:00:00,,True
social-networking-with-phpfox-on-debian-5-lenny.md,2010-08-13 00:00:00,2013-10-04 00:00:00,,True
deploy-voip-services-with-asterisk-and-freepbx-on-ubuntu-12-04-precise.md,2014-06-17 00:00:00,2014-06-17 00:00:00,,True
deploy-voip-services-with-asterisk-and-freepbx-on-ubuntu-9-10-karmic.md,2010-04-23 00:00:00,2013-08-02 00:00:00,,True
install-and-configure-mumble-on-debian.md,2015-11-09 00:00:00,2015-11-09 00:00:00,,False
install-asterisk-on-centos-7.md,2015-09-30 00:00:00,2015-09-30 00:00:00,,False
deploy-scalable-cassandra.md,2017-06-12 00:00:00,2017-06-24 00:00:00,,False
set-up-a-cassandra-node-cluster-on-ubuntu-and-centos.md,2017-06-24 00:00:00,2017-06-24 00:00:00,,False
access-futon-over-ssh-using-putty-on-windows.md,2010-02-04 00:00:00,2017-07-19 00:00:00,,False
use-couchdb-for-document-based-data-storage-on-centos-5.md,2010-02-18 00:00:00,2011-04-29 00:00:00,,True
use-couchdb-for-document-based-data-storage-on-debian-5-lenny.md,2010-02-08 00:00:00,2012-10-03 00:00:00,,True
use-couchdb-for-document-based-data-storage-on-debian-6-squeeze.md,2011-02-23 00:00:00,2011-04-29 00:00:00,,True
use-couchdb-for-document-based-data-storage-on-fedora-13.md,2010-05-27 00:00:00,2011-04-29 00:00:00,,True
use-couchdb-for-document-based-data-storage-on-fedora-14.md,2010-12-06 00:00:00,2013-09-24 00:00:00,,True
use-couchdb-for-document-based-data-storage-on-ubuntu-10-04-lucid.md,2010-05-03 00:00:00,2013-09-24 00:00:00,,True
use-couchdb-for-document-based-data-storage-on-ubuntu-10-10-maverick.md,2010-12-06 00:00:00,2012-10-08 00:00:00,,True
use-couchdb-for-document-based-data-storage-on-ubuntu-12-04.md,2012-10-09 00:00:00,2012-10-09 00:00:00,,True
use-couchdb-for-document-based-data-storage-on-ubuntu-9-10-karmic.md,2010-02-18 00:00:00,2011-04-29 00:00:00,,True
how-to-install-and-set-up-hadoop-cluster.md,2017-10-13 00:00:00,2017-10-16 00:00:00,,False
install-configure-run-spark-on-top-of-hadoop-yarn-cluster.md,2017-10-20 00:00:00,2017-10-23 00:00:00,,False
how-to-install-mariadb-on-centos-7.md,2015-08-21 00:00:00,2015-08-21 00:00:00,,False
mariadb-setup-debian7.md,2014-06-12 00:00:00,2014-06-12 00:00:00,,False
set-up-mariadb-clusters-with-galera-debian-and-ubuntu.md,2015-02-18 00:00:00,2015-02-18 00:00:00,,False
